Barbados|barbados
South Georgia and the South Sandwich Islands|south-georgia-and-the-south-sandwich-islands
Algeria|algeria
Brazil|brazil
Central African Republic|central-african-republic
Czech Republic|czech-republic
Ecuador|ecuador
Gabon|gabon
Zimbabwe|zimbabwe
Peru|peru
Saint Pierre and Miquelon|saint-pierre-and-miquelon
Republic of Kosovo|kosovo
Tonga|tonga
South Sudan|south-sudan
Colombia|colombia
Germany|germany
Lesotho|lesotho
Falkland Islands (Malvinas)|falkland-islands-malvinas
Saudi Arabia|saudi-arabia
Aruba|aruba
Swaziland|swaziland
United States of America|united-states
Antarctica|antarctica
Cuba|cuba
Monaco|monaco
Serbia|serbia
Anguilla|anguilla
Maldives|maldives
Romania|romania
Uganda|uganda
Japan|japan
Belarus|belarus
France|france
Western Sahara|western-sahara
Iraq|iraq
Norway|norway
Philippines|philippines
Bahamas|bahamas
Dominican Republic|dominican-republic
Macao, SAR China|macao-sar-china
Bermuda|bermuda
Pakistan|pakistan
Pitcairn|pitcairn
Tanzania, United Republic of|tanzania
Bolivia|bolivia
Kazakhstan|kazakhstan
Kyrgyzstan|kyrgyzstan
Taiwan, Republic of China|taiwan
Armenia|armenia
Svalbard and Jan Mayen Islands|svalbard-and-jan-mayen-islands
Sweden|sweden
Togo|togo
Fiji|fiji
Martinique|martinique
Montenegro|montenegro
Suriname|suriname
Venezuela (Bolivarian Republic)|venezuela
Angola|angola
Macedonia, Republic of|macedonia
Mauritius|mauritius
Mayotte|mayotte
Senegal|senegal
South Africa|south-africa
Syrian Arab Republic (Syria)|syria
Liechtenstein|liechtenstein
Netherlands Antilles|netherlands-antilles
Croatia|croatia
Djibouti|djibouti
Mexico|mexico
Belize|belize
Guinea-Bissau|guinea-bissau
Mongolia|mongolia
Poland|poland
Ethiopia|ethiopia
Kuwait|kuwait
Nicaragua|nicaragua
Papua New Guinea|papua-new-guinea
Sierra Leone|sierra-leone
Sudan|sudan
